codigo,codigo_global,numero_na_selecao,selecao,grupo,confederacao,ranking_fifa,jogador,posicao,clube,tipo,raridade,is_brilhante,rating_overall,pagina_album
00,0,,Especial,,,,Capa do Álbum,ESP,Panini,Capa,Normal,0,,0
FWC01,1,,Especial,,,,Mascote Estrella,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC02,2,,Especial,,,,Logo Copa 2026,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC03,3,,Especial,,,,Bola Oficial Al Hilm,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC04,4,,Especial,,,,Troféu da Copa do Mundo,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC05,5,,Especial,,,,MetLife Stadium - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC06,6,,Especial,,,,Estádio Azteca - México,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC07,7,,Especial,,,,BC Place - Canadá,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC08,8,,Especial,,,,SoFi Stadium - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC09,9,,Especial,,,,Levi's Stadium - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC10,10,,Especial,,,,AT&T Stadium - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC11,11,,Especial,,,,Gillette Stadium - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC12,12,,Especial,,,,Arrowhead Stadium - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC13,13,,Especial,,,,Lincoln Financial Field - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC14,14,,Especial,,,,Rose Bowl - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC15,15,,Especial,,,,NRG Stadium - EUA,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC16,16,,Especial,,,,Panorama Sedes,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC17,17,,Especial,,,,Melhor XI Copa 2026,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC18,18,,Especial,,,,Pódio Final,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
FWC19,19,,Especial,,,,Campeão Copa 2026,ESP,FIFA/Panini,Especial FWC,Brilhante,1,,1
MÉX01,20,1,México,A,CONCACAF,16,Escudo México,ESP,—,Escudo,Brilhante,1,,3
MÉX02,21,2,México,A,CONCACAF,16,Grupo A — México,ESP,—,Grupo,Normal,0,,3
MÉX03,22,3,México,A,CONCACAF,16,Cavallini,GOL,Chivas,Goleiro,Normal,0,74,3
MÉX04,23,4,México,A,CONCACAF,16,Millar,GOL,Pumas,Goleiro,Normal,0,76,3
MÉX05,24,5,México,A,CONCACAF,16,Antuna,ZAG,Tigres UANL,Jogador,Normal,0,78,3
MÉX06,25,6,México,A,CONCACAF,16,Jiménez,ZAG,LA Galaxy,Jogador,Normal,0,75,3
MÉX07,26,7,México,A,CONCACAF,16,David,ZAG,Toronto FC,Jogador,Normal,0,75,3
MÉX08,27,8,México,A,CONCACAF,16,Hernández,LAT,Chivas,Jogador,Normal,0,73,3
MÉX09,28,9,México,A,CONCACAF,16,Antuna,LAT,LA Galaxy,Jogador,Normal,0,77,3
MÉX10,29,10,México,A,CONCACAF,16,Hernández,VOL,LA Galaxy,Jogador,Normal,0,74,3
MÉX11,30,11,México,A,CONCACAF,16,Millar,MEI,LA Galaxy,Jogador,Normal,0,76,3
MÉX12,31,12,México,A,CONCACAF,16,Antuna,MEI,CF Montréal,Jogador,Normal,0,79,3
MÉX13,32,13,México,A,CONCACAF,16,Moreno,ATA,Club América,Jogador,Normal,0,80,3
MÉX14,33,14,México,A,CONCACAF,16,Osorio,ATA,Tigres UANL,Jogador,Normal,0,78,3
MÉX15,34,15,México,A,CONCACAF,16,Johnston,ATA,León,Jogador,Normal,0,78,3
MÉX16,35,16,México,A,CONCACAF,16,Lozano,ATA,Cruz Azul,Jogador,Normal,0,81,3
MÉX17,36,17,México,A,CONCACAF,16,Davies,ATA,Chivas,Jogador,Normal,0,72,3
MÉX18,37,18,México,A,CONCACAF,16,Johnston,ATA,Chivas,Jogador,Normal,0,76,3
MÉX19,38,19,México,A,CONCACAF,16,Estrela México,ATA,León,Estrela,Brilhante,1,83,3
MÉX20,39,20,México,A,CONCACAF,16,Estrela México,ATA,Pumas,Destaque,Brilhante,1,79,3
EQU01,40,1,Equador,A,CONMEBOL,40,Escudo Equador,ESP,—,Escudo,Brilhante,1,,5
EQU02,41,2,Equador,A,CONMEBOL,40,Grupo A — Equador,ESP,—,Grupo,Normal,0,,5
EQU03,42,3,Equador,A,CONMEBOL,40,Morales,GOL,São Paulo,Goleiro,Normal,0,72,5
EQU04,43,4,Equador,A,CONMEBOL,40,Santos,GOL,Athletico PR,Goleiro,Normal,0,70,5
EQU05,44,5,Equador,A,CONMEBOL,40,Ramírez,ZAG,Nacional,Jogador,Normal,0,77,5
EQU06,45,6,Equador,A,CONMEBOL,40,Flores,ZAG,Corinthians,Jogador,Normal,0,73,5
EQU07,46,7,Equador,A,CONMEBOL,40,López,ZAG,Corinthians,Jogador,Normal,0,71,5
EQU08,47,8,Equador,A,CONMEBOL,40,Morales,LAT,Palmeiras,Jogador,Normal,0,68,5
EQU09,48,9,Equador,A,CONMEBOL,40,Flores,LAT,River Plate,Jogador,Normal,0,78,5
EQU10,49,10,Equador,A,CONMEBOL,40,Rodríguez,VOL,Palmeiras,Jogador,Normal,0,77,5
EQU11,50,11,Equador,A,CONMEBOL,40,González,MEI,Palmeiras,Jogador,Normal,0,73,5
EQU12,51,12,Equador,A,CONMEBOL,40,Rodríguez,MEI,São Paulo,Jogador,Normal,0,72,5
EQU13,52,13,Equador,A,CONMEBOL,40,Castillo,ATA,Peñarol,Jogador,Normal,0,68,5
EQU14,53,14,Equador,A,CONMEBOL,40,López,ATA,Peñarol,Jogador,Normal,0,70,5
EQU15,54,15,Equador,A,CONMEBOL,40,Flores,ATA,Nacional,Jogador,Normal,0,74,5
EQU16,55,16,Equador,A,CONMEBOL,40,Herrera,ATA,Independiente,Jogador,Normal,0,73,5
EQU17,56,17,Equador,A,CONMEBOL,40,Santos,ATA,Corinthians,Jogador,Normal,0,75,5
EQU18,57,18,Equador,A,CONMEBOL,40,Fernández,ATA,Santos,Jogador,Normal,0,75,5
EQU19,58,19,Equador,A,CONMEBOL,40,Estrela Equador,ATA,River Plate,Estrela,Brilhante,1,76,5
EQU20,59,20,Equador,A,CONMEBOL,40,Estrela Equador,ATA,São Paulo,Destaque,Brilhante,1,78,5
IRA01,60,1,Iraque,A,AFC,71,Escudo Iraque,ESP,—,Escudo,Brilhante,1,,7
IRA02,61,2,Iraque,A,AFC,71,Grupo A — Iraque,ESP,—,Grupo,Normal,0,,7
IRA03,62,3,Iraque,A,AFC,71,Al-Dawsari,GOL,Al-Ain,Goleiro,Normal,0,69,7
IRA04,63,4,Iraque,A,AFC,71,Morita,GOL,Jeonbuk,Goleiro,Normal,0,73,7
IRA05,64,5,Iraque,A,AFC,71,Nishino,ZAG,Al-Hilal,Jogador,Normal,0,65,7
IRA06,65,6,Iraque,A,AFC,71,Al-Faraj,ZAG,Al-Hilal,Jogador,Normal,0,71,7
IRA07,66,7,Iraque,A,AFC,71,Salem,ZAG,Ulsan,Jogador,Normal,0,70,7
IRA08,67,8,Iraque,A,AFC,71,Lee,LAT,Urawa Reds,Jogador,Normal,0,69,7
IRA09,68,9,Iraque,A,AFC,71,Al-Buraikan,LAT,Jeonbuk,Jogador,Normal,0,63,7
IRA10,69,10,Iraque,A,AFC,71,Morita,VOL,Melbourne City,Jogador,Normal,0,67,7
IRA11,70,11,Iraque,A,AFC,71,Al-Buraikan,MEI,Melbourne City,Jogador,Normal,0,67,7
IRA12,71,12,Iraque,A,AFC,71,Al-Dawsari,MEI,Al-Ittihad,Jogador,Normal,0,65,7
IRA13,72,13,Iraque,A,AFC,71,Kubo,ATA,Al-Ain,Jogador,Normal,0,72,7
IRA14,73,14,Iraque,A,AFC,71,Al-Dawsari,ATA,Yokohama FM,Jogador,Normal,0,69,7
